timestamp,open,high,low,close
2023-09-22 00:10:00,1.06603,1.06606,1.06573,1.06576
2023-09-22 00:05:00,1.06601,1.06626,1.06578,1.06600
2023-09-22 00:00:00,1.06601,1.06610,1.06597,1.06602
2023-09-21 23:55:00,1.06605,1.06610,1.06580,1.06600
2023-09-21 23:50:00,1.06611,1.06616,1.06600,1.06605
2023-09-21 23:45:00,1.06601,1.06613,1.06598,1.06610
2023-09-21 23:40:00,1.06604,1.06610,1.06596,1.06600
2023-09-21 23:35:00,1.06587,1.06610,1.06583,1.06610
2023-09-21 23:30:00,1.06593,1.06600,1.06584,1.06589
2023-09-21 23:25:00,1.06607,1.06611,1.06590,1.06600
2023-09-21 23:20:00,1.06604,1.06610,1.06598,1.06608
2023-09-21 23:15:00,1.06602,1.06612,1.06599,1.06604
2023-09-21 23:10:00,1.06607,1.06617,1.06602,1.06603
2023-09-21 23:05:00,1.06612,1.06620,1.06605,1.06607
2023-09-21 23:00:00,1.06616,1.06620,1.06607,1.06611
2023-09-21 22:55:00,1.06618,1.06620,1.06612,1.06615
2023-09-21 22:50:00,1.06613,1.06621,1.06610,1.06617
2023-09-21 22:45:00,1.06618,1.06621,1.06612,1.06615
2023-09-21 22:40:00,1.06618,1.06630,1.06617,1.06618
2023-09-21 22:35:00,1.06630,1.06634,1.06618,1.06619
2023-09-21 22:30:00,1.06629,1.06635,1.06624,1.06629
2023-09-21 22:25:00,1.06632,1.06640,1.06625,1.06626
2023-09-21 22:20:00,1.06620,1.06633,1.06616,1.06630
2023-09-21 22:15:00,1.06612,1.06630,1.06610,1.06621
2023-09-21 22:10:00,1.06608,1.06616,1.06598,1.06616
2023-09-21 22:05:00,1.06582,1.06611,1.06567,1.06609
2023-09-21 22:00:00,1.06570,1.06591,1.06564,1.06584
2023-09-21 21:55:00,1.06590,1.06590,1.06567,1.06587
2023-09-21 21:50:00,1.06588,1.06590,1.06567,1.06567
2023-09-21 21:45:00,1.06587,1.06590,1.06563,1.06588
2023-09-21 21:40:00,1.06588,1.06593,1.06557,1.06587
2023-09-21 21:35:00,1.06580,1.06591,1.06557,1.06560
2023-09-21 21:30:00,1.06590,1.06591,1.06560,1.06580
2023-09-21 21:25:00,1.06590,1.06599,1.06565,1.06565
2023-09-21 21:20:00,1.06584,1.06613,1.06567,1.06578
2023-09-21 21:15:00,1.06601,1.06613,1.06563,1.06590
2023-09-21 21:10:00,1.06553,1.06601,1.06553,1.06581
2023-09-21 21:05:00,1.06596,1.06600,1.06566,1.06598
2023-09-21 21:00:00,1.06615,1.06620,1.06590,1.06590
2023-09-21 20:55:00,1.06614,1.06629,1.06609,1.06616
2023-09-21 20:50:00,1.06613,1.06624,1.06609,1.06612
2023-09-21 20:45:00,1.06602,1.06614,1.06599,1.06613
2023-09-21 20:40:00,1.06594,1.06604,1.06590,1.06602
2023-09-21 20:35:00,1.06583,1.06600,1.06580,1.06594
2023-09-21 20:30:00,1.06587,1.06590,1.06575,1.06582
2023-09-21 20:25:00,1.06576,1.06589,1.06575,1.06586
2023-09-21 20:20:00,1.06577,1.06581,1.06574,1.06579
2023-09-21 20:15:00,1.06593,1.06596,1.06570,1.06574
2023-09-21 20:10:00,1.06593,1.06601,1.06590,1.06596
2023-09-21 20:05:00,1.06592,1.06610,1.06576,1.06597
2023-09-21 20:00:00,1.06626,1.06626,1.06586,1.06592
2023-09-21 19:55:00,1.06635,1.06637,1.06610,1.06625
2023-09-21 19:50:00,1.06634,1.06656,1.06628,1.06637
2023-09-21 19:45:00,1.06619,1.06640,1.06618,1.06635
2023-09-21 19:40:00,1.06632,1.06636,1.06610,1.06620
2023-09-21 19:35:00,1.06642,1.06653,1.06624,1.06629
2023-09-21 19:30:00,1.06651,1.06664,1.06639,1.06646
2023-09-21 19:25:00,1.06645,1.06656,1.06630,1.06649
2023-09-21 19:20:00,1.06654,1.06670,1.06640,1.06646
2023-09-21 19:15:00,1.06635,1.06658,1.06630,1.06654
2023-09-21 19:10:00,1.06619,1.06640,1.06605,1.06635
2023-09-21 19:05:00,1.06617,1.06633,1.06588,1.06622
2023-09-21 19:00:00,1.06670,1.06678,1.06611,1.06616
2023-09-21 18:55:00,1.06655,1.06676,1.06655,1.06669
2023-09-21 18:50:00,1.06687,1.06688,1.06656,1.06658
2023-09-21 18:45:00,1.06678,1.06688,1.06670,1.06685
2023-09-21 18:40:00,1.06678,1.06690,1.06672,1.06678
2023-09-21 18:35:00,1.06694,1.06697,1.06660,1.06679
2023-09-21 18:30:00,1.06700,1.06703,1.06686,1.06695
2023-09-21 18:25:00,1.06673,1.06708,1.06671,1.06700
2023-09-21 18:20:00,1.06688,1.06701,1.06668,1.06672
2023-09-21 18:15:00,1.06684,1.06710,1.06678,1.06691
2023-09-21 18:10:00,1.06650,1.06695,1.06650,1.06682
2023-09-21 18:05:00,1.06655,1.06664,1.06633,1.06652
2023-09-21 18:00:00,1.06653,1.06660,1.06632,1.06659
2023-09-21 17:55:00,1.06662,1.06686,1.06653,1.06653
2023-09-21 17:50:00,1.06655,1.06675,1.06650,1.06665
2023-09-21 17:45:00,1.06673,1.06691,1.06651,1.06656
2023-09-21 17:40:00,1.06679,1.06704,1.06670,1.06672
2023-09-21 17:35:00,1.06682,1.06700,1.06675,1.06681
2023-09-21 17:30:00,1.06672,1.06699,1.06669,1.06683
2023-09-21 17:25:00,1.06635,1.06680,1.06630,1.06674
2023-09-21 17:20:00,1.06602,1.06644,1.06600,1.06637
2023-09-21 17:15:00,1.06573,1.06620,1.06571,1.06602
2023-09-21 17:10:00,1.06572,1.06587,1.06564,1.06572
2023-09-21 17:05:00,1.06558,1.06579,1.06554,1.06573
2023-09-21 17:00:00,1.06623,1.06635,1.06556,1.06557
2023-09-21 16:55:00,1.06647,1.06665,1.06612,1.06623
2023-09-21 16:50:00,1.06581,1.06648,1.06581,1.06647
2023-09-21 16:45:00,1.06601,1.06610,1.06569,1.06583
2023-09-21 16:40:00,1.06630,1.06635,1.06595,1.06603
2023-09-21 16:35:00,1.06590,1.06633,1.06583,1.06631
2023-09-21 16:30:00,1.06604,1.06620,1.06581,1.06593
2023-09-21 16:25:00,1.06555,1.06604,1.06554,1.06602
2023-09-21 16:20:00,1.06598,1.06600,1.06543,1.06554
2023-09-21 16:15:00,1.06615,1.06615,1.06567,1.06599
2023-09-21 16:10:00,1.06644,1.06656,1.06612,1.06612
2023-09-21 16:05:00,1.06632,1.06650,1.06619,1.06645
2023-09-21 16:00:00,1.06644,1.06661,1.06629,1.06634
2023-09-21 15:55:00,1.06673,1.06687,1.06628,1.06645
